layer, cosine_to_last
    0, 0.014129
    1, 0.021298
    2, 0.024039
    3, 0.011274
    4, -0.002007
    5, 0.001407
    6, -0.008422
    7, -0.011852
    8, -0.013596
    9, -0.008523
   10, -0.010680
   11, -0.027526
   12, -0.017209
   13, -0.034488
   14, -0.032722
   15, -0.043860
   16, -0.043367
   17, -0.041538
   18, -0.048999
   19, -0.047745
   20, -0.046397
   21, -0.115535
   22, -0.258399
   23, 1.000000
