layer,cosine_to_last
0,0.099984
1,0.107692
2,0.109498
3,0.097223
4,0.085342
5,0.081519
6,0.078022
7,0.073587
8,0.072416
9,0.077878
10,0.077701
11,0.064201
12,0.075642
13,0.060348
14,0.063792
15,0.054076
16,0.053701
17,0.057210
18,0.048961
19,0.049039
20,0.053855
21,-0.014542
22,-0.151435
23,1.000000
