layer,cosine_to_last
0,0.016295
1,0.019175
2,0.022252
3,0.007691
4,-0.006319
5,-0.004942
6,-0.012574
7,-0.017137
8,-0.018150
9,-0.015252
10,-0.016222
11,-0.027789
12,-0.018467
13,-0.038263
14,-0.034847
15,-0.049080
16,-0.053837
17,-0.049869
18,-0.061224
19,-0.061220
20,-0.056941
21,-0.104086
22,-0.214153
23,1.000000
