layer,value,ratio
0,17601,0.135810
1,17311,0.133573
2,22584,0.174259
3,22092,0.170463
4,23161,0.178711
5,24379,0.188110
6,25566,0.197269
7,23254,0.179429
8,24896,0.192099
9,25640,0.197840
10,23515,0.181443
11,22776,0.175741
12,19722,0.152176
13,15557,0.120039
14,17431,0.134498
15,12845,0.099113
16,17127,0.132153
17,16772,0.129414
18,17506,0.135077
19,20271,0.156412
20,19208,0.148210
21,21160,0.163272
22,20603,0.158974
23,52421,0.404483
