layer, cosine_to_last
    0, 0.104286
    1, 0.107764
    2, 0.109091
    3, 0.092786
    4, 0.079118
    5, 0.074305
    6, 0.071863
    7, 0.065570
    8, 0.065595
    9, 0.070259
   10, 0.070316
   11, 0.061184
   12, 0.071518
   13, 0.054275
   14, 0.059424
   15, 0.046386
   16, 0.041353
   17, 0.047103
   18, 0.035295
   19, 0.034158
   20, 0.041055
   21, -0.008709
   22, -0.114604
   23, 1.000000
