layer, value
    0,  9750
    1,  1883
    2,  2621
    3,   913
    4,  1007
    5,   624
    6,   570
    7,   268
    8,   371
    9,   209
   10,    74
   11,   104
   12,    72
   13,   442
   14,   360
   15,   331
   16,   239
   17,   160
   18,   147
   19,    91
   20,    60
   21,   107
   22,    94
   23, 43813
