layer, value
    0, 17601
    1,  3750
    2,  7069
    3,  3204
    4,  4097
    5,  3515
    6,  3735
    7,  2323
    8,  4223
    9,  2554
   10,  1416
   11,  2335
   12,  1790
   13,  2224
   14,  4640
   15,  1922
   16,  6112
   17,  3299
   18,  3495
   19,  4397
   20,  1988
   21,  3418
   22,  2517
   23, 51279
