layer,value,ratio
0,13915,0.107369
1,2879,0.022215
2,4019,0.031011
3,1538,0.011867
4,1527,0.011782
5,1113,0.008588
6,802,0.006188
7,449,0.003465
8,559,0.004313
9,291,0.002245
10,110,0.000849
11,103,0.000795
12,111,0.000856
13,478,0.003688
14,443,0.003418
15,501,0.003866
16,263,0.002029
17,195,0.001505
18,147,0.001134
19,75,0.000579
20,60,0.000463
21,7,0.000054
22,0,0.000000
23,0,0.000000
