layer,value,ratio
0,9750,0.075231
1,1883,0.014529
2,2621,0.020224
3,913,0.007045
4,1007,0.007770
5,624,0.004815
6,570,0.004398
7,268,0.002068
8,371,0.002863
9,209,0.001613
10,74,0.000571
11,104,0.000802
12,72,0.000556
13,442,0.003410
14,360,0.002778
15,331,0.002554
16,239,0.001844
17,160,0.001235
18,147,0.001134
19,91,0.000702
20,60,0.000463
21,107,0.000826
22,0,0.000000
23,0,0.000000
